vto_short,vto_label,tok1,tok2,uuid,family,genus,specificepithet,lat,lon,char_sesamoid_bone_of_manus,char_carpal_bone,char_metacarpal_bone,char_humerus,char_ulna,char_radius_bone,char_centrale_fore,char_ulnare,char_phalanx_of_manus,char_intermedium,char_radiale,char_pelvic_fin,char_pectoral_fin,char_pelvic_sucking_disc
VTO:0049110,Labridae,labridae,,0c0e020a-e44f-4b9d-acec-d13a026ba304,labridae,cheilinus,oxycephalus,-18.187117,178.517333,,,,,,,,,,,,0 and 1,1,0
VTO:0049204,Cheilinus oxycephalus,cheilinus,oxycephalus,0c0e020a-e44f-4b9d-acec-d13a026ba304,labridae,cheilinus,oxycephalus,-18.187117,178.517333,,,,,,,,,,,,1,1,?
VTO:0057324,Myctophidae,myctophidae,,0c0e81aa-acb5-41f1-ad7e-ee7ca0898af3,myctophidae,lampanyctus,macropterus,19.9416667,-66.9416667,,,,,,,,,,,,1,?,?
VTO:0043786,Ammodytidae,ammodytidae,,0c0fa580-d0dd-44cc-91b1-c24b92aa25e0,ammodytidae,ammodytes,hexapterus,58.2336111,-153.6519444,,,,,,,,,,,,0 and 1,1,0
VTO:0007309,Bufo bufo,bufo,bufo,0c100b09-4e93-4a1d-b0dd-5ce76de04b9d,bufonidae,bufo,bufo,38.56267,-117.29762,?,?,?,?,?,?,?,?,1,?,?,,,
VTO:0057324,Myctophidae,myctophidae,,0c103fc8-f898-4ff3-9a3b-7c8a8536f69e,myctophidae,krefftichthys,anderssoni,-56.2333333,-160.5166667,,,,,,,,,,,,1,?,?
VTO:0056956,Aphredoderus sayanus,aphredoderus,sayanus,0c107ca9-53a5-4f81-909e-41bda5f2fdf8,aphredoderidae,aphredoderus,sayanus,40.677,-84.0596,,,,,,,,,,,,1,?,?
VTO:0042308,Acanthuridae,acanthuridae,,0c10c49b-40fa-4b68-9d4b-b60407f931d0,acanthuridae,acanthurus,gahhm,1.088056,154.791111,,,,,,,,,,,,1,1,?
VTO:0040719,Luxilus chrysocephalus,luxilus,chrysocephalus,0c11e44f-6d2e-4439-b50a-4cf264137da0,cyprinidae,luxilus,chrysocephalus,39.8105,-82.9756,,,,,,,,,,,,1,1,?
VTO:0007370,Anaxyrus punctatus,anaxyrus,punctatus,0c147d94-b063-4d88-81b8-412ffd6c3d34,bufonidae,anaxyrus,punctatus,23.388137752058977,-109.81660448824597,?,?,?,?,?,?,?,?,1,?,?,,,
